InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV334053,SC28289,WICKER BASKET,9,2023-05-06,3.0,CUST0001,Germany
INV131244,SC22280,BAMBOO CUTTING BOARD,14,2023-01-17,1.75,CUST0002,Germany
INV731262,SC13478,COTTON TOTE BAG,8,2023-09-16,1.0,CUST0002,Germany
INV331148,SC68878,WICKER BASKET,18,2023-08-03,3.0,CUST0003,Italy
INV895667,SC30926,BAMBOO CUTTING BOARD,9,2023-01-04,1.75,CUST0003,Italy
INV391369,SC30379,WICKER BASKET,14,2023-06-24,3.0,CUST0003,Italy
INV197251,SC59797,COTTON TOTE BAG,11,2023-02-22,1.0,CUST0003,Italy
INV377370,SC15695,CERAMIC PLANT POT,12,2023-11-06,2.0,CUST0004,Germany
INV230889,SC59615,WICKER BASKET,15,2023-10-02,3.0,CUST0004,Germany
INV969693,SC92397,BLUE CERAMIC MUG,18,2023-05-31,1.25,CUST0004,Germany
INV301629,SC19116,BAMBOO CUTTING BOARD,12,2023-10-23,1.75,CUST0004,Germany
INV183667,SC40512,RED WOOL SCARF,8,2023-05-29,2.5,CUST0004,Germany
INV391476,SC69429,CERAMIC PLANT POT,4,2023-07-14,2.0,CUST0004,Germany
INV802729,SC44993,GLASS VASE,12,2023-04-18,1.5,CUST0005,USA
INV765822,SC32431,WICKER BASKET,3,2023-11-08,3.0,CUST0005,USA
INV584714,SC59735,SILK CUSHION,8,2023-03-25,2.25,CUST0005,USA
INV340174,SC14207,ENAMEL PIN SET,11,2023-01-29,0.75,CUST0006,Australia
INV380746,SC18675,PAPER NOTEBOOK,11,2023-07-25,0.85,CUST0006,Australia
INV322955,SC95909,COTTON TOTE BAG,19,2023-06-11,1.0,CUST0006,Australia
INV581141,SC28726,LEATHER WALLET,13,2023-11-26,5.0,CUST0006,Australia
INV375504,SC86622,COTTON TOTE BAG,18,2023-10-03,1.0,CUST0007,Australia
INV479580,SC38746,METAL KEYCHAIN,19,2023-07-24,0.5,CUST0007,Australia
INV195325,SC16175,VINTAGE LAMP,17,2023-09-10,3.75,CUST0007,Australia
INV542666,SC88172,ENAMEL PIN SET,6,2023-12-15,0.75,CUST0008,Germany
INV724834,SC71348,BLUE CERAMIC MUG,13,2023-07-15,1.25,CUST0008,Germany
INV112038,SC99166,SILK CUSHION,9,2023-10-11,2.25,CUST0008,Germany
INV407757,SC66985,PAPER NOTEBOOK,11,2023-02-27,0.85,CUST0009,Germany
INV857168,SC44522,VINTAGE LAMP,15,2023-01-02,3.75,CUST0009,Germany
INV211579,SC91959,SILK CUSHION,6,2023-09-17,2.25,CUST0009,Germany
INV308573,SC30032,WOODEN PHOTO FRAME,17,2023-11-08,2.0,CUST0009,Germany
INV916449,SC79514,GLASS VASE,6,2023-10-04,1.5,CUST0009,Germany
INV480612,SC50306,LEATHER WALLET,1,2023-02-27,5.0,CUST0010,United Kingdom
INV694916,SC20322,COTTON TOTE BAG,2,2023-05-04,1.0,CUST0010,United Kingdom
INV897549,SC79822,BLUE CERAMIC MUG,16,2023-02-05,1.25,CUST0010,United Kingdom
INV791798,SC72296,PAPER NOTEBOOK,5,2023-03-07,0.85,CUST0010,United Kingdom
INV653306,SC89507,SILK CUSHION,6,2023-05-16,2.25,CUST0010,United Kingdom
INV891952,SC36365,METAL KEYCHAIN,7,2023-10-04,0.5,CUST0010,United Kingdom
INV642717,SC69177,ENAMEL PIN SET,12,2023-08-13,0.75,CUST0011,Australia
INV167136,SC54313,BLUE CERAMIC MUG,8,2023-04-26,1.25,CUST0011,Australia
INV341292,SC87128,RED WOOL SCARF,19,2023-10-11,2.5,CUST0011,Australia
INV842225,SC92719,COTTON TOTE BAG,1,2023-02-06,1.0,CUST0011,Australia
INV132938,SC53309,RED WOOL SCARF,8,2023-02-04,2.5,CUST0011,Australia
INV392004,SC97684,BLUE CERAMIC MUG,17,2023-05-02,1.25,CUST0011,Australia
INV238739,SC84847,LEATHER WALLET,7,2023-10-04,5.0,CUST0011,Australia
INV299659,SC22363,COTTON TOTE BAG,16,2023-07-28,1.0,CUST0012,Japan
INV544154,SC63883,BLUE CERAMIC MUG,14,2023-07-01,1.25,CUST0012,Japan
INV785197,SC94696,LEATHER WALLET,2,2023-12-11,5.0,CUST0012,Japan
INV863587,SC54473,BLUE CERAMIC MUG,2,2023-07-26,1.25,CUST0012,Japan
INV300896,SC34931,PAPER NOTEBOOK,4,2023-05-08,0.85,CUST0012,Japan
INV542374,SC34050,SILK CUSHION,15,2023-03-13,2.25,CUST0012,Japan
INV179046,SC68082,WOODEN PHOTO FRAME,15,2023-05-08,2.0,CUST0012,Japan
INV153045,SC95477,PAPER NOTEBOOK,18,2023-02-20,0.85,CUST0012,Japan
INV526156,SC73653,BLUE CERAMIC MUG,8,2023-03-27,1.25,CUST0013,Italy
INV272634,SC59672,CERAMIC PLANT POT,13,2023-01-31,2.0,CUST0014,Spain
INV922157,SC69638,RED WOOL SCARF,13,2023-05-16,2.5,CUST0014,Spain
INV865990,SC82845,WOODEN PHOTO FRAME,14,2023-12-23,2.0,CUST0014,Spain
INV299122,SC48890,ENAMEL PIN SET,16,2023-03-21,0.75,CUST0014,Spain
INV884309,SC51104,BAMBOO CUTTING BOARD,18,2023-02-01,1.75,CUST0015,India
INV994141,SC79615,BAMBOO CUTTING BOARD,16,2023-09-15,1.75,CUST0016,United Kingdom
INV171849,SC87992,SILK CUSHION,3,2023-04-06,2.25,CUST0017,France
INV358175,SC85880,METAL KEYCHAIN,4,2023-10-19,0.5,CUST0018,Germany
INV185965,SC64948,BAMBOO CUTTING BOARD,2,2023-11-14,1.75,CUST0018,Germany
INV648177,SC51467,ENAMEL PIN SET,19,2023-10-17,0.75,CUST0018,Germany
INV802258,SC51180,KNITTED BLANKET,9,2023-04-15,4.5,CUST0018,Germany
INV776856,SC49321,METAL KEYCHAIN,5,2023-12-10,0.5,CUST0019,India
INV109767,SC70068,LEATHER WALLET,11,2023-02-07,5.0,CUST0019,India
INV176819,SC80468,BAMBOO CUTTING BOARD,19,2023-02-21,1.75,CUST0019,India
INV238890,SC55745,COTTON TOTE BAG,17,2023-05-16,1.0,CUST0019,India
INV487477,SC47353,KNITTED BLANKET,3,2023-05-06,4.5,CUST0019,India
INV417212,SC90173,CERAMIC PLANT POT,18,2023-12-27,2.0,CUST0020,France
INV800305,SC82692,PAPER NOTEBOOK,17,2023-01-05,0.85,CUST0020,France
INV377312,SC25129,WOODEN PHOTO FRAME,4,2023-03-10,2.0,CUST0020,France
INV262998,SC45697,KNITTED BLANKET,4,2023-10-11,4.5,CUST0020,France
INV852470,SC54942,WOODEN PHOTO FRAME,20,2023-04-18,2.0,CUST0020,France
INV612262,SC42914,COTTON TOTE BAG,9,2023-09-16,1.0,CUST0020,France
INV765095,SC65518,KNITTED BLANKET,2,2023-02-17,4.5,CUST0020,France
INV103717,SC53719,CERAMIC PLANT POT,9,2023-01-23,2.0,CUST0020,France
INV839945,SC66057,VINTAGE LAMP,15,2023-10-10,3.75,CUST0021,France
INV178898,SC29536,SILK CUSHION,1,2023-02-27,2.25,CUST0021,France
INV710805,SC82420,SILK CUSHION,2,2023-07-09,2.25,CUST0021,France
INV143860,SC50404,VINTAGE LAMP,14,2023-03-07,3.75,CUST0021,France
INV320281,SC99399,GLASS VASE,2,2023-07-03,1.5,CUST0021,France
INV750810,SC30257,GLASS VASE,18,2023-07-28,1.5,CUST0022,India
INV938742,SC33206,KNITTED BLANKET,8,2023-03-25,4.5,CUST0022,India
INV941204,SC97806,VINTAGE LAMP,11,2023-07-30,3.75,CUST0023,Canada
INV140605,SC71694,VINTAGE LAMP,4,2023-07-15,3.75,CUST0024,India
INV466643,SC50001,COTTON TOTE BAG,7,2023-08-24,1.0,CUST0024,India
INV124813,SC96511,CERAMIC PLANT POT,8,2023-04-25,2.0,CUST0024,India
INV392136,SC19099,COTTON TOTE BAG,13,2023-06-18,1.0,CUST0024,India
INV772642,SC76768,PAPER NOTEBOOK,9,2023-06-29,0.85,CUST0024,India
INV287241,SC86099,RED WOOL SCARF,4,2023-05-14,2.5,CUST0025,Canada
INV725550,SC66959,WOODEN PHOTO FRAME,2,2023-02-25,2.0,CUST0025,Canada
INV735656,SC77033,GLASS VASE,11,2023-08-12,1.5,CUST0025,Canada
INV299312,SC43386,BLUE CERAMIC MUG,13,2023-10-23,1.25,CUST0025,Canada
INV645175,SC80575,RED WOOL SCARF,14,2023-01-01,2.5,CUST0025,Canada
INV552248,SC19171,ENAMEL PIN SET,7,2023-07-06,0.75,CUST0025,Canada
INV631756,SC50538,ENAMEL PIN SET,4,2023-06-03,0.75,CUST0026,USA
INV521947,SC48752,ENAMEL PIN SET,14,2023-06-17,0.75,CUST0026,USA
INV540869,SC97153,SILK CUSHION,5,2023-04-09,2.25,CUST0026,USA
INV696750,SC49446,METAL KEYCHAIN,6,2023-11-12,0.5,CUST0026,USA
INV418635,SC47606,METAL KEYCHAIN,18,2023-01-01,0.5,CUST0026,USA
INV736130,SC95813,COTTON TOTE BAG,14,2023-10-24,1.0,CUST0026,USA
INV324082,SC77000,LEATHER WALLET,15,2023-12-12,5.0,CUST0027,USA
INV188914,SC47196,LEATHER WALLET,6,2023-12-04,5.0,CUST0027,USA
INV197923,SC40784,SILK CUSHION,20,2023-06-21,2.25,CUST0027,USA
INV945742,SC36100,ENAMEL PIN SET,10,2023-04-26,0.75,CUST0027,USA
INV356736,SC72277,VINTAGE LAMP,1,2023-01-24,3.75,CUST0027,USA
INV534572,SC92544,BAMBOO CUTTING BOARD,3,2023-08-22,1.75,CUST0027,USA
INV502630,SC74799,BAMBOO CUTTING BOARD,7,2023-12-23,1.75,CUST0027,USA
INV787926,SC10726,METAL KEYCHAIN,8,2023-03-17,0.5,CUST0027,USA
INV643118,SC70889,COTTON TOTE BAG,6,2023-12-23,1.0,CUST0028,Germany
INV989545,SC25906,RED WOOL SCARF,18,2023-05-08,2.5,CUST0028,Germany
INV800005,SC79616,LEATHER WALLET,5,2023-08-26,5.0,CUST0028,Germany
INV891937,SC68008,SILK CUSHION,20,2023-06-12,2.25,CUST0028,Germany
INV970914,SC81810,BAMBOO CUTTING BOARD,17,2023-08-07,1.75,CUST0028,Germany
INV571932,SC43972,LEATHER WALLET,6,2023-09-01,5.0,CUST0028,Germany
INV390782,SC78327,PAPER NOTEBOOK,8,2023-11-23,0.85,CUST0028,Germany
INV848206,SC47450,WOODEN PHOTO FRAME,15,2023-02-09,2.0,CUST0029,Spain
INV435239,SC80798,COTTON TOTE BAG,9,2023-06-21,1.0,CUST0029,Spain
INV342495,SC60205,BLUE CERAMIC MUG,5,2023-03-19,1.25,CUST0029,Spain
INV324345,SC18418,WICKER BASKET,5,2023-12-28,3.0,CUST0029,Spain
INV535970,SC18161,GLASS VASE,18,2023-08-27,1.5,CUST0030,Canada
INV907189,SC86556,COTTON TOTE BAG,14,2023-07-19,1.0,CUST0030,Canada
INV498858,SC72518,WICKER BASKET,1,2023-10-22,3.0,CUST0030,Canada
INV890075,SC61116,RED WOOL SCARF,12,2023-06-02,2.5,CUST0030,Canada
INV883826,SC81582,CERAMIC PLANT POT,14,2023-10-03,2.0,CUST0030,Canada
INV611945,SC38760,PAPER NOTEBOOK,20,2023-04-23,0.85,CUST0030,Canada
INV130434,SC60968,WOODEN PHOTO FRAME,14,2023-09-06,2.0,CUST0030,Canada
INV233827,SC91560,WICKER BASKET,6,2023-08-28,3.0,CUST0031,USA
INV720644,SC83975,SILK CUSHION,1,2023-07-21,2.25,CUST0031,USA
INV773971,SC66179,ENAMEL PIN SET,1,2023-02-12,0.75,CUST0031,USA
INV152727,SC44099,VINTAGE LAMP,15,2023-04-04,3.75,CUST0031,USA
INV576786,SC52840,METAL KEYCHAIN,11,2023-04-19,0.5,CUST0031,USA
INV888539,SC65255,GLASS VASE,13,2023-05-23,1.5,CUST0031,USA
INV120324,SC80702,WOODEN PHOTO FRAME,3,2023-08-29,2.0,CUST0031,USA
INV142213,SC14067,COTTON TOTE BAG,3,2023-11-30,1.0,CUST0032,United Kingdom
INV751517,SC29973,COTTON TOTE BAG,7,2023-01-11,1.0,CUST0032,United Kingdom
INV801978,SC24993,COTTON TOTE BAG,5,2023-08-31,1.0,CUST0032,United Kingdom
INV833442,SC43586,BAMBOO CUTTING BOARD,7,2023-08-27,1.75,CUST0032,United Kingdom
INV735324,SC89593,PAPER NOTEBOOK,12,2023-03-27,0.85,CUST0032,United Kingdom
INV426147,SC24168,WICKER BASKET,4,2023-03-25,3.0,CUST0032,United Kingdom
INV810250,SC59192,KNITTED BLANKET,10,2023-10-22,4.5,CUST0033,Japan
INV970917,SC92213,BLUE CERAMIC MUG,19,2023-12-20,1.25,CUST0034,Canada
INV910004,SC49529,COTTON TOTE BAG,4,2023-12-23,1.0,CUST0034,Canada
INV934904,SC84177,CERAMIC PLANT POT,20,2023-03-03,2.0,CUST0034,Canada
INV658623,SC66148,PAPER NOTEBOOK,2,2023-06-27,0.85,CUST0034,Canada
INV990844,SC65057,SILK CUSHION,11,2023-01-07,2.25,CUST0035,USA
INV554582,SC57472,CERAMIC PLANT POT,16,2023-02-24,2.0,CUST0035,USA
INV782054,SC45400,METAL KEYCHAIN,6,2023-09-25,0.5,CUST0036,Spain
INV587455,SC67091,BAMBOO CUTTING BOARD,18,2023-09-05,1.75,CUST0036,Spain
INV437960,SC42177,CERAMIC PLANT POT,19,2023-05-18,2.0,CUST0036,Spain
INV886931,SC70910,KNITTED BLANKET,15,2023-05-05,4.5,CUST0037,Germany
INV497399,SC54092,BAMBOO CUTTING BOARD,20,2023-12-09,1.75,CUST0037,Germany
INV290672,SC73904,RED WOOL SCARF,16,2023-06-16,2.5,CUST0037,Germany
INV456871,SC46655,COTTON TOTE BAG,12,2023-05-13,1.0,CUST0037,Germany
INV389688,SC82848,KNITTED BLANKET,20,2023-12-26,4.5,CUST0037,Germany
INV612311,SC82768,BLUE CERAMIC MUG,8,2023-07-28,1.25,CUST0038,United Kingdom
INV599219,SC94659,PAPER NOTEBOOK,8,2023-12-20,0.85,CUST0038,United Kingdom
INV931450,SC12260,WICKER BASKET,16,2023-08-18,3.0,CUST0038,United Kingdom
INV524045,SC41890,BLUE CERAMIC MUG,10,2023-04-24,1.25,CUST0038,United Kingdom
INV460455,SC65771,LEATHER WALLET,18,2023-09-29,5.0,CUST0039,Australia
INV468900,SC69473,WICKER BASKET,18,2023-06-19,3.0,CUST0039,Australia
INV341736,SC25814,WOODEN PHOTO FRAME,10,2023-05-09,2.0,CUST0039,Australia
INV225362,SC80236,WICKER BASKET,7,2023-06-11,3.0,CUST0039,Australia
INV326895,SC73464,PAPER NOTEBOOK,6,2023-04-09,0.85,CUST0039,Australia
INV725780,SC47093,WOODEN PHOTO FRAME,19,2023-09-26,2.0,CUST0039,Australia
INV288158,SC49618,WOODEN PHOTO FRAME,8,2023-07-04,2.0,CUST0040,Germany
INV387636,SC15965,RED WOOL SCARF,18,2023-03-06,2.5,CUST0040,Germany
INV831295,SC26551,RED WOOL SCARF,18,2023-05-30,2.5,CUST0040,Germany
INV112861,SC85243,ENAMEL PIN SET,16,2023-02-22,0.75,CUST0040,Germany
INV293319,SC16734,LEATHER WALLET,15,2023-06-24,5.0,CUST0041,Australia
INV962050,SC18564,WOODEN PHOTO FRAME,16,2023-02-28,2.0,CUST0041,Australia
INV705050,SC92502,METAL KEYCHAIN,16,2023-02-07,0.5,CUST0041,Australia
INV256445,SC83772,ENAMEL PIN SET,2,2023-03-19,0.75,CUST0041,Australia
INV224205,SC83147,WOODEN PHOTO FRAME,3,2023-05-08,2.0,CUST0041,Australia
INV725084,SC91057,PAPER NOTEBOOK,14,2023-11-07,0.85,CUST0041,Australia
INV572398,SC68028,COTTON TOTE BAG,17,2023-07-14,1.0,CUST0041,Australia
INV420214,SC84531,WOODEN PHOTO FRAME,19,2023-08-08,2.0,CUST0041,Australia
INV755900,SC37659,BAMBOO CUTTING BOARD,4,2023-04-17,1.75,CUST0042,Japan
INV678805,SC19838,VINTAGE LAMP,8,2023-03-30,3.75,CUST0043,Australia
INV572387,SC87832,VINTAGE LAMP,1,2023-07-29,3.75,CUST0043,Australia
INV841296,SC47056,RED WOOL SCARF,8,2023-05-28,2.5,CUST0044,Spain
INV820775,SC40595,WICKER BASKET,15,2023-02-06,3.0,CUST0044,Spain
INV718439,SC96662,KNITTED BLANKET,9,2023-11-17,4.5,CUST0044,Spain
INV220351,SC81376,PAPER NOTEBOOK,7,2023-08-06,0.85,CUST0044,Spain
INV966785,SC28643,COTTON TOTE BAG,5,2023-05-17,1.0,CUST0044,Spain
INV885339,SC84607,VINTAGE LAMP,10,2023-11-01,3.75,CUST0045,Germany
INV418862,SC62757,BLUE CERAMIC MUG,15,2023-12-19,1.25,CUST0046,Australia
INV617781,SC67377,WOODEN PHOTO FRAME,17,2023-10-04,2.0,CUST0046,Australia
INV553014,SC52247,BLUE CERAMIC MUG,20,2023-01-21,1.25,CUST0046,Australia
INV195763,SC40005,BAMBOO CUTTING BOARD,9,2023-01-14,1.75,CUST0046,Australia
INV121753,SC98117,ENAMEL PIN SET,19,2023-10-28,0.75,CUST0046,Australia
INV142185,SC32962,CERAMIC PLANT POT,9,2023-10-23,2.0,CUST0046,Australia
INV563711,SC46458,LEATHER WALLET,17,2023-11-30,5.0,CUST0046,Australia
INV765620,SC74451,VINTAGE LAMP,19,2023-08-12,3.75,CUST0046,Australia
INV436653,SC97835,GLASS VASE,14,2023-06-20,1.5,CUST0047,Germany
INV531641,SC74942,BLUE CERAMIC MUG,6,2023-06-18,1.25,CUST0047,Germany
INV138479,SC69614,WOODEN PHOTO FRAME,13,2023-10-09,2.0,CUST0047,Germany
INV438977,SC25194,BLUE CERAMIC MUG,11,2023-05-10,1.25,CUST0047,Germany
INV964998,SC10150,PAPER NOTEBOOK,13,2023-09-21,0.85,CUST0047,Germany
INV533321,SC17104,ENAMEL PIN SET,18,2023-08-25,0.75,CUST0047,Germany
INV752878,SC75338,COTTON TOTE BAG,17,2023-07-05,1.0,CUST0047,Germany
INV313446,SC45003,ENAMEL PIN SET,15,2023-01-27,0.75,CUST0047,Germany
INV832168,SC73532,KNITTED BLANKET,10,2023-08-13,4.5,CUST0048,Italy
INV738448,SC41365,BLUE CERAMIC MUG,1,2023-11-19,1.25,CUST0048,Italy
INV677596,SC11792,WICKER BASKET,6,2023-06-09,3.0,CUST0048,Italy
INV583863,SC25396,BLUE CERAMIC MUG,8,2023-02-28,1.25,CUST0049,Italy
INV851413,SC48254,ENAMEL PIN SET,5,2023-09-13,0.75,CUST0049,Italy
INV975271,SC73242,SILK CUSHION,9,2023-08-01,2.25,CUST0049,Italy
INV678043,SC28958,LEATHER WALLET,8,2023-08-22,5.0,CUST0049,Italy
INV632929,SC27892,METAL KEYCHAIN,7,2023-11-03,0.5,CUST0049,Italy
INV910208,SC64387,CERAMIC PLANT POT,3,2023-05-22,2.0,CUST0049,Italy
INV960408,SC10336,GLASS VASE,17,2023-05-17,1.5,CUST0049,Italy
INV791998,SC74178,CERAMIC PLANT POT,19,2023-10-24,2.0,CUST0050,Australia
INV664742,SC73483,CERAMIC PLANT POT,5,2023-08-17,2.0,CUST0050,Australia
INV899929,SC81228,GLASS VASE,11,2023-10-10,1.5,CUST0050,Australia
INV297816,SC41300,METAL KEYCHAIN,15,2023-06-14,0.5,CUST0050,Australia
INV997594,SC63841,BAMBOO CUTTING BOARD,13,2023-04-30,1.75,CUST0050,Australia
INV950823,SC59968,WICKER BASKET,16,2023-12-28,3.0,CUST0051,United Kingdom
INV138817,SC26547,METAL KEYCHAIN,5,2023-09-11,0.5,CUST0051,United Kingdom
INV205239,SC67711,SILK CUSHION,19,2023-06-19,2.25,CUST0051,United Kingdom
INV116093,SC28894,BLUE CERAMIC MUG,17,2023-08-22,1.25,CUST0051,United Kingdom
INV592296,SC44737,METAL KEYCHAIN,5,2023-02-08,0.5,CUST0051,United Kingdom
